[DEBUG] <2019-08-16 16:39:40,040> at [org.springframework.context.annotation.ClassPathScanningCandidateComponentProvider.scanCandidateComponents] | click goto-> (ClassPathScanningCandidateComponentProvider.java:437) - Identified candidate component class: file [D:\works\datacollection\service-core\target\classes\com\qmtec\servicecore\dao\TbPartitionsMapper.class]
[DEBUG] <2019-08-16 16:39:40,040> at [org.springframework.context.annotation.ClassPathScanningCandidateComponentProvider.scanCandidateComponents] | click goto-> (ClassPathScanningCandidateComponentProvider.java:437) - Identified candidate component class: file [D:\works\datacollection\service-core\target\classes\com\qmtec\servicecore\dao\TbSDSMapper.class]
[DEBUG] <2019-08-16 16:39:40,040> at [org.springframework.context.annotation.ClassPathScanningCandidateComponentProvider.scanCandidateComponents] | click goto-> (ClassPathScanningCandidateComponentProvider.java:437) - Identified candidate component class: file [D:\works\datacollection\service-core\target\classes\com\qmtec\servicecore\dao\TbSerdeParamsMapper.class]
[DEBUG] <2019-08-16 16:39:40,040> at [org.springframework.context.annotation.ClassPathScanningCandidateComponentProvider.scanCandidateComponents] | click goto-> (ClassPathScanningCandidateComponentProvider.java:437) - Identified candidate component class: file [D:\works\datacollection\service-core\target\classes\com\qmtec\servicecore\dao\TbTableParamsMapper.class]
[DEBUG] <2019-08-16 16:39:40,040> at [org.springframework.context.annotation.ClassPathScanningCandidateComponentProvider.scanCandidateComponents] | click goto-> (ClassPathScanningCandidateComponentProvider.java:437) - Identified candidate component class: file [D:\works\datacollection\service-core\target\classes\com\qmtec\servicecore\dao\TbTBLSMapper.class]
[DEBUG] <2019-08-16 16:39:40,040> at [org.springframework.context.annotation.ClassPathScanningCandidateComponentProvider.scanCandidateComponents] | click goto-> (ClassPathScanningCandidateComponentProvider.java:437) - Identified candidate component class: file [D:\works\datacollection\service-core\target\classes\com\qmtec\servicecore\dao\UserInfoMapper.class]
[DEBUG] <2019-08-16 16:39:40,040> at [org.mybatis.logging.Logger.debug] | click goto-> (Logger.java:49) - Creating MapperFactoryBean with name 'channelInfoMapper' and 'com.qmtec.servicecore.dao.ChannelInfoMapper' mapperInterface
[DEBUG] <2019-08-16 16:39:40,040> at [org.mybatis.logging.Logger.debug] | click goto-> (Logger.java:49) - Enabling autowire by type for MapperFactoryBean with name 'channelInfoMapper'.
[DEBUG] <2019-08-16 16:39:40,040> at [org.mybatis.logging.Logger.debug] | click goto-> (Logger.java:49) - Creating MapperFactoryBean with name 'dataXConfigMapper' and 'com.qmtec.servicecore.dao.DataXConfigMapper' mapperInterface
[DEBUG] <2019-08-16 16:39:40,040> at [org.mybatis.logging.Logger.debug] | click goto-> (Logger.java:49) - Enabling autowire by type for MapperFactoryBean with name 'dataXConfigMapper'.
[DEBUG] <2019-08-16 16:39:40,040> at [org.mybatis.logging.Logger.debug] | click goto-> (Logger.java:49) - Creating MapperFactoryBean with name 'fileTemplateMapper' and 'com.qmtec.servicecore.dao.FileTemplateMapper' mapperInterface
[DEBUG] <2019-08-16 16:39:40,040> at [org.mybatis.logging.Logger.debug] | click goto-> (Logger.java:49) - Enabling autowire by type for MapperFactoryBean with name 'fileTemplateMapper'.
