[TRACE] <2019-08-29 17:17:26,026> at [org.springframework.boot.logging.DeferredLog$Line.replayTo] | click goto-> (DeferredLog.java:169) - Skipped missing config 'file:./application-dev.xml' (file:./application-dev.xml) for profile dev
[TRACE] <2019-08-29 17:17:26,026> at [org.springframework.boot.logging.DeferredLog$Line.replayTo] | click goto-> (DeferredLog.java:169) - Skipped missing config 'file:./application.xml' (file:./application.xml) for profile dev
[TRACE] <2019-08-29 17:17:26,026> at [org.springframework.boot.logging.DeferredLog$Line.replayTo] | click goto-> (DeferredLog.java:169) - Skipped missing config 'file:./application-dev.yml' (file:./application-dev.yml) for profile dev
[TRACE] <2019-08-29 17:17:26,026> at [org.springframework.boot.logging.DeferredLog$Line.replayTo] | click goto-> (DeferredLog.java:169) - Skipped missing config 'file:./application-dev.yml' (file:./application-dev.yml) for profile dev
[TRACE] <2019-08-29 17:17:26,026> at [org.springframework.boot.logging.DeferredLog$Line.replayTo] | click goto-> (DeferredLog.java:169) - Skipped missing config 'file:./application.yml' (file:./application.yml) for profile dev
[TRACE] <2019-08-29 17:17:26,026> at [org.springframework.boot.logging.DeferredLog$Line.replayTo] | click goto-> (DeferredLog.java:169) - Skipped missing config 'file:./application-dev.yaml' (file:./application-dev.yaml) for profile dev
[TRACE] <2019-08-29 17:17:26,026> at [org.springframework.boot.logging.DeferredLog$Line.replayTo] | click goto-> (DeferredLog.java:169) - Skipped missing config 'file:./application-dev.yaml' (file:./application-dev.yaml) for profile dev
[TRACE] <2019-08-29 17:17:26,026> at [org.springframework.boot.logging.DeferredLog$Line.replayTo] | click goto-> (DeferredLog.java:169) - Skipped missing config 'file:./application.yaml' (file:./application.yaml) for profile dev
[TRACE] <2019-08-29 17:17:26,026> at [org.springframework.boot.logging.DeferredLog$Line.replayTo] | click goto-> (DeferredLog.java:169) - Skipped missing config 'classpath:/config/application-dev.properties' for profile dev
[TRACE] <2019-08-29 17:17:26,026> at [org.springframework.boot.logging.DeferredLog$Line.replayTo] | click goto-> (DeferredLog.java:169) - Skipped missing config 'classpath:/config/application-dev.properties' for profile dev
[TRACE] <2019-08-29 17:17:26,026> at [org.springframework.boot.logging.DeferredLog$Line.replayTo] | click goto-> (DeferredLog.java:169) - Skipped missing config 'classpath:/config/application.properties' for profile dev
[TRACE] <2019-08-29 17:17:26,026> at [org.springframework.boot.logging.DeferredLog$Line.replayTo] | click goto-> (DeferredLog.java:169) - Skipped missing config 'classpath:/config/application-dev.xml' for profile dev
[TRACE] <2019-08-29 17:17:26,026> at [org.springframework.boot.logging.DeferredLog$Line.replayTo] | click goto-> (DeferredLog.java:169) - Skipped missing config 'classpath:/config/application-dev.xml' for profile dev
[TRACE] <2019-08-29 17:17:26,026> at [org.springframework.boot.logging.DeferredLog$Line.replayTo] | click goto-> (DeferredLog.java:169) - Skipped missing config 'classpath:/config/application.xml' for profile dev
[TRACE] <2019-08-29 17:17:26,026> at [org.springframework.boot.logging.DeferredLog$Line.replayTo] | click goto-> (DeferredLog.java:169) - Skipped missing config 'classpath:/config/application-dev.yml' for profile dev
[TRACE] <2019-08-29 17:17:26,026> at [org.springframework.boot.logging.DeferredLog$Line.replayTo] | click goto-> (DeferredLog.java:169) - Skipped missing config 'classpath:/config/application-dev.yml' for profile dev
