[DEBUG] <2019-08-22 18:27:22,022> at [org.apache.ibatis.logging.jdbc.BaseJdbcLogger.debug] | click goto-> (BaseJdbcLogger.java:159) - ==> Parameters: 192.168.15.60(String), 1(Integer)
[DEBUG] <2019-08-22 18:27:22,022> at [org.apache.ibatis.logging.jdbc.BaseJdbcLogger.debug] | click goto-> (BaseJdbcLogger.java:159) - <==      Total: 0
[DEBUG] <2019-08-22 18:27:22,022> at [org.mybatis.logging.Logger.debug] | click goto-> (Logger.java:49) - Closing non transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@4e1b01dc]
[DEBUG] <2019-08-22 18:27:22,022> at [org.springframework.jdbc.datasource.DataSourceUtils.doReleaseConnection] | click goto-> (DataSourceUtils.java:340) - Returning JDBC Connection to DataSource
[DEBUG] <2019-08-22 18:27:22,022> at [org.springframework.web.filter.RequestContextFilter.doFilterInternal] | click goto-> (RequestContextFilter.java:104) - Cleared thread-bound request context: org.apache.catalina.connector.RequestFacade@1fa9a53c
[DEBUG] <2019-08-22 18:27:38,038> at [com.zaxxer.hikari.pool.HikariPool.logPoolState] | click goto-> (HikariPool.java:411) - HikariPool-2 - Before cleanup stats (total=5, active=0, idle=5, waiting=0)
[DEBUG] <2019-08-22 18:27:38,038> at [com.zaxxer.hikari.pool.HikariPool.logPoolState] | click goto-> (HikariPool.java:411) - HikariPool-2 - After cleanup  stats (total=5, active=0, idle=5, waiting=0)
[DEBUG] <2019-08-22 18:27:45,045> at [org.mybatis.logging.Logger.debug] | click goto-> (Logger.java:49) - Creating a new SqlSession
[DEBUG] <2019-08-22 18:27:45,045> at [org.mybatis.logging.Logger.debug] | click goto-> (Logger.java:49) - SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@300523a6] was not registered for synchronization because synchronization is not active
[DEBUG] <2019-08-22 18:27:45,045> at [org.springframework.jdbc.datasource.DataSourceUtils.doGetConnection] | click goto-> (DataSourceUtils.java:114) - Fetching JDBC Connection from DataSource
[DEBUG] <2019-08-22 18:27:45,045> at [org.mybatis.logging.Logger.debug] | click goto-> (Logger.java:49) - JDBC Connection [HikariProxyConnection@512178810 wrapping com.mysql.cj.jdbc.ConnectionImpl@402ddfc7] will not be managed by Spring
[DEBUG] <2019-08-22 18:27:45,045> at [org.apache.ibatis.logging.jdbc.BaseJdbcLogger.debug] | click goto-> (BaseJdbcLogger.java:159) - ==>  Preparing: select 'true' as QUERYID, context_id, monitor_port, `name`, code, create_time, modify_time, startup_time, flume_home, process_pid, profile_name, agent_name, server_ip, remark, runState, server_port, flume_config_type from t_flume_config WHERE ( runState = ? ) 
[DEBUG] <2019-08-22 18:27:45,045> at [org.apache.ibatis.logging.jdbc.BaseJdbcLogger.debug] | click goto-> (BaseJdbcLogger.java:159) - ==> Parameters: 1(Integer)
[DEBUG] <2019-08-22 18:27:45,045> at [org.apache.ibatis.logging.jdbc.BaseJdbcLogger.debug] | click goto-> (BaseJdbcLogger.java:159) - <==      Total: 0
[DEBUG] <2019-08-22 18:27:45,045> at [org.mybatis.logging.Logger.debug] | click goto-> (Logger.java:49) - Closing non transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@300523a6]
[DEBUG] <2019-08-22 18:27:45,045> at [org.springframework.jdbc.datasource.DataSourceUtils.doReleaseConnection] | click goto-> (DataSourceUtils.java:340) - Returning JDBC Connection to DataSource
[DEBUG] <2019-08-22 18:27:46,046> at [com.zaxxer.hikari.pool.HikariPool.logPoolState] | click goto-> (HikariPool.java:411) - HikariPool-1 - Pool stats (total=10, active=0, idle=10, waiting=0)
[DEBUG] <2019-08-22 18:27:52,052> at [org.springframework.web.filter.RequestContextFilter.initContextHolders] | click goto-> (RequestContextFilter.java:114) - Bound request context to thread: org.apache.catalina.connector.RequestFacade@1fa9a53c
[DEBUG] <2019-08-22 18:27:52,052> at [org.mybatis.logging.Logger.debug] | click goto-> (Logger.java:49) - Creating a new SqlSession
[DEBUG] <2019-08-22 18:27:52,052> at [org.mybatis.logging.Logger.debug] | click goto-> (Logger.java:49) - SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@70e2daa8] was not registered for synchronization because synchronization is not active
[DEBUG] <2019-08-22 18:27:52,052> at [org.springframework.jdbc.datasource.DataSourceUtils.doGetConnection] | click goto-> (DataSourceUtils.java:114) - Fetching JDBC Connection from DataSource
[DEBUG] <2019-08-22 18:27:52,052> at [org.mybatis.logging.Logger.debug] | click goto-> (Logger.java:49) - JDBC Connection [HikariProxyConnection@848992251 wrapping com.mysql.cj.jdbc.ConnectionImpl@402ddfc7] will not be managed by Spring
[DEBUG] <2019-08-22 18:27:52,052> at [org.apache.ibatis.logging.jdbc.BaseJdbcLogger.debug] | click goto-> (BaseJdbcLogger.java:159) - ==>  Preparing: select 'true' as QUERYID, context_id, monitor_port, `name`, code, create_time, modify_time, startup_time, flume_home, process_pid, profile_name, agent_name, server_ip, remark, runState, server_port, flume_config_type from t_flume_config WHERE ( server_ip = ? and runState = ? ) 
[DEBUG] <2019-08-22 18:27:52,052> at [org.apache.ibatis.logging.jdbc.BaseJdbcLogger.debug] | click goto-> (BaseJdbcLogger.java:159) - ==> Parameters: 192.168.15.60(String), 1(Integer)
[DEBUG] <2019-08-22 18:27:52,052> at [org.apache.ibatis.logging.jdbc.BaseJdbcLogger.debug] | click goto-> (BaseJdbcLogger.java:159) - <==      Total: 0
[DEBUG] <2019-08-22 18:27:52,052> at [org.mybatis.logging.Logger.debug] | click goto-> (Logger.java:49) - Closing non transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@70e2daa8]
[DEBUG] <2019-08-22 18:27:52,052> at [org.springframework.jdbc.datasource.DataSourceUtils.doReleaseConnection] | click goto-> (DataSourceUtils.java:340) - Returning JDBC Connection to DataSource
[DEBUG] <2019-08-22 18:27:52,052> at [org.springframework.web.filter.RequestContextFilter.doFilterInternal] | click goto-> (RequestContextFilter.java:104) - Cleared thread-bound request context: org.apache.catalina.connector.RequestFacade@1fa9a53c
[DEBUG] <2019-08-22 18:27:52,052> at [org.springframework.web.filter.RequestContextFilter.initContextHolders] | click goto-> (RequestContextFilter.java:114) - Bound request context to thread: org.apache.catalina.connector.RequestFacade@1fa9a53c
[DEBUG] <2019-08-22 18:27:52,052> at [org.mybatis.logging.Logger.debug] | click goto-> (Logger.java:49) - Creating a new SqlSession
[DEBUG] <2019-08-22 18:27:52,052> at [org.mybatis.logging.Logger.debug] | click goto-> (Logger.java:49) - SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@6de6446b] was not registered for synchronization because synchronization is not active
[DEBUG] <2019-08-22 18:27:52,052> at [org.springframework.jdbc.datasource.DataSourceUtils.doGetConnection] | click goto-> (DataSourceUtils.java:114) - Fetching JDBC Connection from DataSource
[DEBUG] <2019-08-22 18:27:52,052> at [org.mybatis.logging.Logger.debug] | click goto-> (Logger.java:49) - JDBC Connection [HikariProxyConnection@1918510103 wrapping com.mysql.cj.jdbc.ConnectionImpl@402ddfc7] will not be managed by Spring
[DEBUG] <2019-08-22 18:27:52,052> at [org.apache.ibatis.logging.jdbc.BaseJdbcLogger.debug] | click goto-> (BaseJdbcLogger.java:159) - ==>  Preparing: select 'true' as QUERYID, id, `name`, code, create_time, modify_time, startup_time, json_file_name, pythonscript__file_name, server_ip, server_port, runState, remark, datax_home, process_pid, python_switch, json_switch from t_datax_config WHERE ( server_ip = ? and runState = ? ) 
[DEBUG] <2019-08-22 18:27:52,052> at [org.apache.ibatis.logging.jdbc.BaseJdbcLogger.debug] | click goto-> (BaseJdbcLogger.java:159) - ==> Parameters: 192.168.15.60(String), 1(Integer)
[DEBUG] <2019-08-22 18:27:52,052> at [org.apache.ibatis.logging.jdbc.BaseJdbcLogger.debug] | click goto-> (BaseJdbcLogger.java:159) - <==      Total: 0
[DEBUG] <2019-08-22 18:27:52,052> at [org.mybatis.logging.Logger.debug] | click goto-> (Logger.java:49) - Closing non transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@6de6446b]
[DEBUG] <2019-08-22 18:27:52,052> at [org.springframework.jdbc.datasource.DataSourceUtils.doReleaseConnection] | click goto-> (DataSourceUtils.java:340) - Returning JDBC Connection to DataSource
[DEBUG] <2019-08-22 18:27:52,052> at [org.springframework.web.filter.RequestContextFilter.doFilterInternal] | click goto-> (RequestContextFilter.java:104) - Cleared thread-bound request context: org.apache.catalina.connector.RequestFacade@1fa9a53c
[DEBUG] <2019-08-22 18:28:08,008> at [com.zaxxer.hikari.pool.HikariPool.logPoolState] | click goto-> (HikariPool.java:411) - HikariPool-2 - Before cleanup stats (total=5, active=0, idle=5, waiting=0)
[DEBUG] <2019-08-22 18:28:08,008> at [com.zaxxer.hikari.pool.HikariPool.logPoolState] | click goto-> (HikariPool.java:411) - HikariPool-2 - After cleanup  stats (total=5, active=0, idle=5, waiting=0)
[DEBUG] <2019-08-22 18:28:15,015> at [org.mybatis.logging.Logger.debug] | click goto-> (Logger.java:49) - Creating a new SqlSession
[DEBUG] <2019-08-22 18:28:15,015> at [org.mybatis.logging.Logger.debug] | click goto-> (Logger.java:49) - SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@4a40a119] was not registered for synchronization because synchronization is not active
[DEBUG] <2019-08-22 18:28:15,015> at [org.springframework.jdbc.datasource.DataSourceUtils.doGetConnection] | click goto-> (DataSourceUtils.java:114) - Fetching JDBC Connection from DataSource
[DEBUG] <2019-08-22 18:28:15,015> at [org.mybatis.logging.Logger.debug] | click goto-> (Logger.java:49) - JDBC Connection [HikariProxyConnection@1405203428 wrapping com.mysql.cj.jdbc.ConnectionImpl@402ddfc7] will not be managed by Spring
[DEBUG] <2019-08-22 18:28:15,015> at [org.apache.ibatis.logging.jdbc.BaseJdbcLogger.debug] | click goto-> (BaseJdbcLogger.java:159) - ==>  Preparing: select 'true' as QUERYID, context_id, monitor_port, `name`, code, create_time, modify_time, startup_time, flume_home, process_pid, profile_name, agent_name, server_ip, remark, runState, server_port, flume_config_type from t_flume_config WHERE ( runState = ? ) 
[DEBUG] <2019-08-22 18:28:15,015> at [org.apache.ibatis.logging.jdbc.BaseJdbcLogger.debug] | click goto-> (BaseJdbcLogger.java:159) - ==> Parameters: 1(Integer)
[DEBUG] <2019-08-22 18:28:15,015> at [org.apache.ibatis.logging.jdbc.BaseJdbcLogger.debug] | click goto-> (BaseJdbcLogger.java:159) - <==      Total: 0
[DEBUG] <2019-08-22 18:28:15,015> at [org.mybatis.logging.Logger.debug] | click goto-> (Logger.java:49) - Closing non transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@4a40a119]
[DEBUG] <2019-08-22 18:28:15,015> at [org.springframework.jdbc.datasource.DataSourceUtils.doReleaseConnection] | click goto-> (DataSourceUtils.java:340) - Returning JDBC Connection to DataSource
[DEBUG] <2019-08-22 18:28:16,016> at [com.zaxxer.hikari.pool.HikariPool.logPoolState] | click goto-> (HikariPool.java:411) - HikariPool-1 - Pool stats (total=10, active=0, idle=10, waiting=0)
[DEBUG] <2019-08-22 18:28:22,022> at [org.springframework.web.filter.RequestContextFilter.initContextHolders] | click goto-> (RequestContextFilter.java:114) - Bound request context to thread: org.apache.catalina.connector.RequestFacade@1fa9a53c
[DEBUG] <2019-08-22 18:28:22,022> at [org.mybatis.logging.Logger.debug] | click goto-> (Logger.java:49) - Creating a new SqlSession
[DEBUG] <2019-08-22 18:28:22,022> at [org.mybatis.logging.Logger.debug] | click goto-> (Logger.java:49) - SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@4bed222c] was not registered for synchronization because synchronization is not active
[DEBUG] <2019-08-22 18:28:22,022> at [org.springframework.jdbc.datasource.DataSourceUtils.doGetConnection] | click goto-> (DataSourceUtils.java:114) - Fetching JDBC Connection from DataSource
[DEBUG] <2019-08-22 18:28:22,022> at [org.mybatis.logging.Logger.debug] | click goto-> (Logger.java:49) - JDBC Connection [HikariProxyConnection@1174195225 wrapping com.mysql.cj.jdbc.ConnectionImpl@402ddfc7] will not be managed by Spring
[DEBUG] <2019-08-22 18:28:22,022> at [org.apache.ibatis.logging.jdbc.BaseJdbcLogger.debug] | click goto-> (BaseJdbcLogger.java:159) - ==>  Preparing: select 'true' as QUERYID, context_id, monitor_port, `name`, code, create_time, modify_time, startup_time, flume_home, process_pid, profile_name, agent_name, server_ip, remark, runState, server_port, flume_config_type from t_flume_config WHERE ( server_ip = ? and runState = ? ) 
[DEBUG] <2019-08-22 18:28:22,022> at [org.apache.ibatis.logging.jdbc.BaseJdbcLogger.debug] | click goto-> (BaseJdbcLogger.java:159) - ==> Parameters: 192.168.15.60(String), 1(Integer)
[DEBUG] <2019-08-22 18:28:22,022> at [org.apache.ibatis.logging.jdbc.BaseJdbcLogger.debug] | click goto-> (BaseJdbcLogger.java:159) - <==      Total: 0
[DEBUG] <2019-08-22 18:28:22,022> at [org.mybatis.logging.Logger.debug] | click goto-> (Logger.java:49) - Closing non transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@4bed222c]
[DEBUG] <2019-08-22 18:28:22,022> at [org.springframework.jdbc.datasource.DataSourceUtils.doReleaseConnection] | click goto-> (DataSourceUtils.java:340) - Returning JDBC Connection to DataSource
[DEBUG] <2019-08-22 18:28:22,022> at [org.springframework.web.filter.RequestContextFilter.doFilterInternal] | click goto-> (RequestContextFilter.java:104) - Cleared thread-bound request context: org.apache.catalina.connector.RequestFacade@1fa9a53c
[DEBUG] <2019-08-22 18:28:22,022> at [org.springframework.web.filter.RequestContextFilter.initContextHolders] | click goto-> (RequestContextFilter.java:114) - Bound request context to thread: org.apache.catalina.connector.RequestFacade@1fa9a53c
[DEBUG] <2019-08-22 18:28:22,022> at [org.mybatis.logging.Logger.debug] | click goto-> (Logger.java:49) - Creating a new SqlSession
[DEBUG] <2019-08-22 18:28:22,022> at [org.mybatis.logging.Logger.debug] | click goto-> (Logger.java:49) - SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@37a89352] was not registered for synchronization because synchronization is not active
[DEBUG] <2019-08-22 18:28:22,022> at [org.springframework.jdbc.datasource.DataSourceUtils.doGetConnection] | click goto-> (DataSourceUtils.java:114) - Fetching JDBC Connection from DataSource
[DEBUG] <2019-08-22 18:28:22,022> at [org.mybatis.logging.Logger.debug] | click goto-> (Logger.java:49) - JDBC Connection [HikariProxyConnection@1054373413 wrapping com.mysql.cj.jdbc.ConnectionImpl@402ddfc7] will not be managed by Spring
[DEBUG] <2019-08-22 18:28:22,022> at [org.apache.ibatis.logging.jdbc.BaseJdbcLogger.debug] | click goto-> (BaseJdbcLogger.java:159) - ==>  Preparing: select 'true' as QUERYID, id, `name`, code, create_time, modify_time, startup_time, json_file_name, pythonscript__file_name, server_ip, server_port, runState, remark, datax_home, process_pid, python_switch, json_switch from t_datax_config WHERE ( server_ip = ? and runState = ? ) 
[DEBUG] <2019-08-22 18:28:22,022> at [org.apache.ibatis.logging.jdbc.BaseJdbcLogger.debug] | click goto-> (BaseJdbcLogger.java:159) - ==> Parameters: 192.168.15.60(String), 1(Integer)
[DEBUG] <2019-08-22 18:28:22,022> at [org.apache.ibatis.logging.jdbc.BaseJdbcLogger.debug] | click goto-> (BaseJdbcLogger.java:159) - <==      Total: 0
[DEBUG] <2019-08-22 18:28:22,022> at [org.mybatis.logging.Logger.debug] | click goto-> (Logger.java:49) - Closing non transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@37a89352]
[DEBUG] <2019-08-22 18:28:22,022> at [org.springframework.jdbc.datasource.DataSourceUtils.doReleaseConnection] | click goto-> (DataSourceUtils.java:340) - Returning JDBC Connection to DataSource
[DEBUG] <2019-08-22 18:28:22,022> at [org.springframework.web.filter.RequestContextFilter.doFilterInternal] | click goto-> (RequestContextFilter.java:104) - Cleared thread-bound request context: org.apache.catalina.connector.RequestFacade@1fa9a53c
[DEBUG] <2019-08-22 18:28:38,038> at [com.zaxxer.hikari.pool.HikariPool.logPoolState] | click goto-> (HikariPool.java:411) - HikariPool-2 - Before cleanup stats (total=5, active=0, idle=5, waiting=0)
[DEBUG] <2019-08-22 18:28:38,038> at [com.zaxxer.hikari.pool.HikariPool.logPoolState] | click goto-> (HikariPool.java:411) - HikariPool-2 - After cleanup  stats (total=5, active=0, idle=5, waiting=0)
[DEBUG] <2019-08-22 18:28:45,045> at [org.mybatis.logging.Logger.debug] | click goto-> (Logger.java:49) - Creating a new SqlSession
[DEBUG] <2019-08-22 18:28:45,045> at [org.mybatis.logging.Logger.debug] | click goto-> (Logger.java:49) - SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@3fbf7506] was not registered for synchronization because synchronization is not active
[DEBUG] <2019-08-22 18:28:45,045> at [org.springframework.jdbc.datasource.DataSourceUtils.doGetConnection] | click goto-> (DataSourceUtils.java:114) - Fetching JDBC Connection from DataSource
[DEBUG] <2019-08-22 18:28:45,045> at [org.mybatis.logging.Logger.debug] | click goto-> (Logger.java:49) - JDBC Connection [HikariProxyConnection@1882735489 wrapping com.mysql.cj.jdbc.ConnectionImpl@402ddfc7] will not be managed by Spring
[DEBUG] <2019-08-22 18:28:45,045> at [org.apache.ibatis.logging.jdbc.BaseJdbcLogger.debug] | click goto-> (BaseJdbcLogger.java:159) - ==>  Preparing: select 'true' as QUERYID, context_id, monitor_port, `name`, code, create_time, modify_time, startup_time, flume_home, process_pid, profile_name, agent_name, server_ip, remark, runState, server_port, flume_config_type from t_flume_config WHERE ( runState = ? ) 
[DEBUG] <2019-08-22 18:28:45,045> at [org.apache.ibatis.logging.jdbc.BaseJdbcLogger.debug] | click goto-> (BaseJdbcLogger.java:159) - ==> Parameters: 1(Integer)
[DEBUG] <2019-08-22 18:28:45,045> at [org.apache.ibatis.logging.jdbc.BaseJdbcLogger.debug] | click goto-> (BaseJdbcLogger.java:159) - <==      Total: 0
[DEBUG] <2019-08-22 18:28:45,045> at [org.mybatis.logging.Logger.debug] | click goto-> (Logger.java:49) - Closing non transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@3fbf7506]
[DEBUG] <2019-08-22 18:28:45,045> at [org.springframework.jdbc.datasource.DataSourceUtils.doReleaseConnection] | click goto-> (DataSourceUtils.java:340) - Returning JDBC Connection to DataSource
[DEBUG] <2019-08-22 18:28:46,046> at [com.zaxxer.hikari.pool.HikariPool.logPoolState] | click goto-> (HikariPool.java:411) - HikariPool-1 - Pool stats (total=10, active=0, idle=10, waiting=0)
[DEBUG] <2019-08-22 18:28:52,052> at [org.springframework.web.filter.RequestContextFilter.initContextHolders] | click goto-> (RequestContextFilter.java:114) - Bound request context to thread: org.apache.catalina.connector.RequestFacade@1fa9a53c
[DEBUG] <2019-08-22 18:28:52,052> at [org.mybatis.logging.Logger.debug] | click goto-> (Logger.java:49) - Creating a new SqlSession
[DEBUG] <2019-08-22 18:28:52,052> at [org.mybatis.logging.Logger.debug] | click goto-> (Logger.java:49) - SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@660fd3b9] was not registered for synchronization because synchronization is not active
[DEBUG] <2019-08-22 18:28:52,052> at [org.springframework.jdbc.datasource.DataSourceUtils.doGetConnection] | click goto-> (DataSourceUtils.java:114) - Fetching JDBC Connection from DataSource
[DEBUG] <2019-08-22 18:28:52,052> at [org.mybatis.logging.Logger.debug] | click goto-> (Logger.java:49) - JDBC Connection [HikariProxyConnection@1223877748 wrapping com.mysql.cj.jdbc.ConnectionImpl@402ddfc7] will not be managed by Spring
[DEBUG] <2019-08-22 18:28:52,052> at [org.apache.ibatis.logging.jdbc.BaseJdbcLogger.debug] | click goto-> (BaseJdbcLogger.java:159) - ==>  Preparing: select 'true' as QUERYID, context_id, monitor_port, `name`, code, create_time, modify_time, startup_time, flume_home, process_pid, profile_name, agent_name, server_ip, remark, runState, server_port, flume_config_type from t_flume_config WHERE ( server_ip = ? and runState = ? ) 
[DEBUG] <2019-08-22 18:28:52,052> at [org.apache.ibatis.logging.jdbc.BaseJdbcLogger.debug] | click goto-> (BaseJdbcLogger.java:159) - ==> Parameters: 192.168.15.60(String), 1(Integer)
[DEBUG] <2019-08-22 18:28:52,052> at [org.apache.ibatis.logging.jdbc.BaseJdbcLogger.debug] | click goto-> (BaseJdbcLogger.java:159) - <==      Total: 0
[DEBUG] <2019-08-22 18:28:52,052> at [org.mybatis.logging.Logger.debug] | click goto-> (Logger.java:49) - Closing non transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@660fd3b9]
[DEBUG] <2019-08-22 18:28:52,052> at [org.springframework.jdbc.datasource.DataSourceUtils.doReleaseConnection] | click goto-> (DataSourceUtils.java:340) - Returning JDBC Connection to DataSource
[DEBUG] <2019-08-22 18:28:52,052> at [org.springframework.web.filter.RequestContextFilter.doFilterInternal] | click goto-> (RequestContextFilter.java:104) - Cleared thread-bound request context: org.apache.catalina.connector.RequestFacade@1fa9a53c
[DEBUG] <2019-08-22 18:28:52,052> at [org.springframework.web.filter.RequestContextFilter.initContextHolders] | click goto-> (RequestContextFilter.java:114) - Bound request context to thread: org.apache.catalina.connector.RequestFacade@1fa9a53c
[DEBUG] <2019-08-22 18:28:52,052> at [org.mybatis.logging.Logger.debug] | click goto-> (Logger.java:49) - Creating a new SqlSession
[DEBUG] <2019-08-22 18:28:52,052> at [org.mybatis.logging.Logger.debug] | click goto-> (Logger.java:49) - SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@1851b42e] was not registered for synchronization because synchronization is not active
[DEBUG] <2019-08-22 18:28:52,052> at [org.springframework.jdbc.datasource.DataSourceUtils.doGetConnection] | click goto-> (DataSourceUtils.java:114) - Fetching JDBC Connection from DataSource
[DEBUG] <2019-08-22 18:28:52,052> at [org.mybatis.logging.Logger.debug] | click goto-> (Logger.java:49) - JDBC Connection [HikariProxyConnection@1992933174 wrapping com.mysql.cj.jdbc.ConnectionImpl@402ddfc7] will not be managed by Spring
[DEBUG] <2019-08-22 18:28:52,052> at [org.apache.ibatis.logging.jdbc.BaseJdbcLogger.debug] | click goto-> (BaseJdbcLogger.java:159) - ==>  Preparing: select 'true' as QUERYID, id, `name`, code, create_time, modify_time, startup_time, json_file_name, pythonscript__file_name, server_ip, server_port, runState, remark, datax_home, process_pid, python_switch, json_switch from t_datax_config WHERE ( server_ip = ? and runState = ? ) 
[DEBUG] <2019-08-22 18:28:52,052> at [org.apache.ibatis.logging.jdbc.BaseJdbcLogger.debug] | click goto-> (BaseJdbcLogger.java:159) - ==> Parameters: 192.168.15.60(String), 1(Integer)
[DEBUG] <2019-08-22 18:28:52,052> at [org.apache.ibatis.logging.jdbc.BaseJdbcLogger.debug] | click goto-> (BaseJdbcLogger.java:159) - <==      Total: 0
[DEBUG] <2019-08-22 18:28:52,052> at [org.mybatis.logging.Logger.debug] | click goto-> (Logger.java:49) - Closing non transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@1851b42e]
[DEBUG] <2019-08-22 18:28:52,052> at [org.springframework.jdbc.datasource.DataSourceUtils.doReleaseConnection] | click goto-> (DataSourceUtils.java:340) - Returning JDBC Connection to DataSource
[DEBUG] <2019-08-22 18:28:52,052> at [org.springframework.web.filter.RequestContextFilter.doFilterInternal] | click goto-> (RequestContextFilter.java:104) - Cleared thread-bound request context: org.apache.catalina.connector.RequestFacade@1fa9a53c
[DEBUG] <2019-08-22 18:29:08,008> at [com.zaxxer.hikari.pool.HikariPool.logPoolState] | click goto-> (HikariPool.java:411) - HikariPool-2 - Before cleanup stats (total=5, active=0, idle=5, waiting=0)
[DEBUG] <2019-08-22 18:29:08,008> at [com.zaxxer.hikari.pool.HikariPool.logPoolState] | click goto-> (HikariPool.java:411) - HikariPool-2 - After cleanup  stats (total=5, active=0, idle=5, waiting=0)
[DEBUG] <2019-08-22 18:29:15,015> at [org.mybatis.logging.Logger.debug] | click goto-> (Logger.java:49) - Creating a new SqlSession
[DEBUG] <2019-08-22 18:29:15,015> at [org.mybatis.logging.Logger.debug] | click goto-> (Logger.java:49) - SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@4a56e85d] was not registered for synchronization because synchronization is not active
[DEBUG] <2019-08-22 18:29:15,015> at [org.springframework.jdbc.datasource.DataSourceUtils.doGetConnection] | click goto-> (DataSourceUtils.java:114) - Fetching JDBC Connection from DataSource
[DEBUG] <2019-08-22 18:29:15,015> at [org.mybatis.logging.Logger.debug] | click goto-> (Logger.java:49) - JDBC Connection [HikariProxyConnection@235254612 wrapping com.mysql.cj.jdbc.ConnectionImpl@402ddfc7] will not be managed by Spring
[DEBUG] <2019-08-22 18:29:15,015> at [org.apache.ibatis.logging.jdbc.BaseJdbcLogger.debug] | click goto-> (BaseJdbcLogger.java:159) - ==>  Preparing: select 'true' as QUERYID, context_id, monitor_port, `name`, code, create_time, modify_time, startup_time, flume_home, process_pid, profile_name, agent_name, server_ip, remark, runState, server_port, flume_config_type from t_flume_config WHERE ( runState = ? ) 
[DEBUG] <2019-08-22 18:29:15,015> at [org.apache.ibatis.logging.jdbc.BaseJdbcLogger.debug] | click goto-> (BaseJdbcLogger.java:159) - ==> Parameters: 1(Integer)
[DEBUG] <2019-08-22 18:29:15,015> at [org.apache.ibatis.logging.jdbc.BaseJdbcLogger.debug] | click goto-> (BaseJdbcLogger.java:159) - <==      Total: 0
[DEBUG] <2019-08-22 18:29:15,015> at [org.mybatis.logging.Logger.debug] | click goto-> (Logger.java:49) - Closing non transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@4a56e85d]
[DEBUG] <2019-08-22 18:29:15,015> at [org.springframework.jdbc.datasource.DataSourceUtils.doReleaseConnection] | click goto-> (DataSourceUtils.java:340) - Returning JDBC Connection to DataSource
[DEBUG] <2019-08-22 18:29:16,016> at [com.zaxxer.hikari.pool.HikariPool.logPoolState] | click goto-> (HikariPool.java:411) - HikariPool-1 - Pool stats (total=10, active=0, idle=10, waiting=0)
[DEBUG] <2019-08-22 18:29:22,022> at [org.springframework.web.filter.RequestContextFilter.initContextHolders] | click goto-> (RequestContextFilter.java:114) - Bound request context to thread: org.apache.catalina.connector.RequestFacade@1fa9a53c
[DEBUG] <2019-08-22 18:29:22,022> at [org.mybatis.logging.Logger.debug] | click goto-> (Logger.java:49) - Creating a new SqlSession
[DEBUG] <2019-08-22 18:29:22,022> at [org.mybatis.logging.Logger.debug] | click goto-> (Logger.java:49) - SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@ba7de8e] was not registered for synchronization because synchronization is not active
[DEBUG] <2019-08-22 18:29:22,022> at [org.springframework.jdbc.datasource.DataSourceUtils.doGetConnection] | click goto-> (DataSourceUtils.java:114) - Fetching JDBC Connection from DataSource
[DEBUG] <2019-08-22 18:29:22,022> at [org.mybatis.logging.Logger.debug] | click goto-> (Logger.java:49) - JDBC Connection [HikariProxyConnection@177487164 wrapping com.mysql.cj.jdbc.ConnectionImpl@402ddfc7] will not be managed by Spring
[DEBUG] <2019-08-22 18:29:22,022> at [org.apache.ibatis.logging.jdbc.BaseJdbcLogger.debug] | click goto-> (BaseJdbcLogger.java:159) - ==>  Preparing: select 'true' as QUERYID, context_id, monitor_port, `name`, code, create_time, modify_time, startup_time, flume_home, process_pid, profile_name, agent_name, server_ip, remark, runState, server_port, flume_config_type from t_flume_config WHERE ( server_ip = ? and runState = ? ) 
[DEBUG] <2019-08-22 18:29:22,022> at [org.apache.ibatis.logging.jdbc.BaseJdbcLogger.debug] | click goto-> (BaseJdbcLogger.java:159) - ==> Parameters: 192.168.15.60(String), 1(Integer)
[DEBUG] <2019-08-22 18:29:22,022> at [org.apache.ibatis.logging.jdbc.BaseJdbcLogger.debug] | click goto-> (BaseJdbcLogger.java:159) - <==      Total: 0
